Site,Block,Treatments.All,Treatment.C,Treatment.S,Group,Replicate,Consumed,Survived,Consumed.Day,Proportion.Living,LN.Rate.Survival.Day,Per.Cap.Int.Str,Pop.Int.Str
Devil's Gate,Pink,Pisaster + Rock crabs,Present,Present,G2,1,11,19,0.769230769,0.641025641,-0.031763273,0.155702318,0.031763273
Devil's Gate,Orange,Pisaster + Rock crabs,Present,Present,G2,2,14,16,1,0.533333333,-0.044900619,0.220101071,0.044900619
Devil's Gate,Yellow,Pisaster + Rock crabs,Present,Present,G2,3,10,20,0.692307692,0.676923077,-0.02787126,0.136623822,0.02787126
Devil's Gate,Green,Pisaster + Rock crabs,Present,Present,G2,4,12,18,0.846153846,0.605128205,-0.035879638,0.175880579,0.035879638
Devil's Gate,Blue,Pisaster + Rock crabs,Present,Present,G2,5,12,18,0.846153846,0.605128205,-0.035879638,0.175880579,0.035879638
Devil's Gate,Black,Pisaster + Rock crabs,Present,Present,G2,6,11,19,0.769230769,0.641025641,-0.031763273,0.155702318,0.031763273
Devil's Gate,Pink,Pisaster,Absent,Present,G1,1,10,20,0.692307692,0.676923077,-0.02787126,0.236197116,0.02787126
Devil's Gate,Orange,Pisaster,Absent,Present,G1,2,13,17,0.923076923,0.569230769,-0.040247811,0.341083146,0.040247811
Devil's Gate,Yellow,Pisaster,Absent,Present,G1,3,14,16,1,0.533333333,-0.044900619,0.380513716,0.044900619
Devil's Gate,Green,Pisaster,Absent,Present,G1,4,11,19,0.769230769,0.641025641,-0.031763273,0.269180279,0.031763273
Devil's Gate,Blue,Pisaster,Absent,Present,G1,5,14,16,1,0.533333333,-0.044900619,0.380513716,0.044900619
Devil's Gate,Black,Pisaster,Absent,Present,G1,6,10,20,0.692307692,0.676923077,-0.02787126,0.236197116,0.02787126
Devil's Gate,Pink,Control,Absent,Absent,G1,1,0,30,0,1,0,0,0
Devil's Gate,Orange,Control,Absent,Absent,G1,2,0,30,0,1,0,0,0
Devil's Gate,Yellow,Control,Absent,Absent,G1,3,0,30,0,1,0,0,0
Devil's Gate,Green,Control,Absent,Absent,G1,4,0,30,0,1,0,0,0
Devil's Gate,Blue,Control,Absent,Absent,G1,5,0,30,0,1,0,0,0
Devil's Gate,Black,Control,Absent,Absent,G1,6,0,30,0,1,0,0,0
Belinda Point,Pink,Rock crabs,Present,Absent,G2,1,2,28,0.142857143,0.933333333,-0.004928062,0.236546988,0.004928062
Belinda Point,Orange,Rock crabs,Present,Absent,G2,2,1,29,0.071428571,0.966666667,-0.002421539,0.116233891,0.002421539
Belinda Point,Yellow,Rock crabs,Present,Absent,G2,3,0,30,0,1,0,0,0
Belinda Point,Green,Rock crabs,Present,Absent,G2,4,1,29,0.071428571,0.966666667,-0.002421539,0.116233891,0.002421539
Belinda Point,Blue,Rock crabs,Present,Absent,G2,5,1,29,0.071428571,0.966666667,-0.002421539,0.116233891,0.002421539
Belinda Point,Black,Rock crabs,Present,Absent,G2,6,0,30,0,1,0,0,0
Belinda Point,Pink,Pisaster + Rock crabs,Present,Present,G2,1,2,28,0.142857143,0.933333333,-0.004928062,0.084481067,0.004928062
Belinda Point,Orange,Pisaster + Rock crabs,Present,Present,G2,2,2,28,0.142857143,0.933333333,-0.004928062,0.084481067,0.004928062
Belinda Point,Yellow,Pisaster + Rock crabs,Present,Present,G2,3,0,30,0,1,0,0,0
Belinda Point,Green,Pisaster + Rock crabs,Present,Present,G2,4,2,28,0.142857143,0.933333333,-0.004928062,0.084481067,0.004928062
Belinda Point,Blue,Pisaster + Rock crabs,Present,Present,G2,5,2,28,0.142857143,0.933333333,-0.004928062,0.084481067,0.004928062
Belinda Point,Black,Pisaster + Rock crabs,Present,Present,G2,6,1,29,0.071428571,0.966666667,-0.002421539,0.041512104,0.002421539
Belinda Point,Pink,Pisaster,Absent,Present,G1,1,3,27,0.214285714,0.9,-0.007525751,0.200686696,0.007525751
Belinda Point,Orange,Pisaster,Absent,Present,G1,2,1,29,0.071428571,0.966666667,-0.002421539,0.064574384,0.002421539
Belinda Point,Yellow,Pisaster,Absent,Present,G1,3,0,30,0,1,0,0,0
Belinda Point,Green,Pisaster,Absent,Present,G1,4,0,30,0,1,0,0,0
Belinda Point,Blue,Pisaster,Absent,Present,G1,5,2,28,0.142857143,0.933333333,-0.004928062,0.131414993,0.004928062
Belinda Point,Black,Pisaster,Absent,Present,G1,6,1,29,0.071428571,0.966666667,-0.002421539,0.064574384,0.002421539
Belinda Point,Pink,Control,Absent,Absent,G1,1,0,30,0,1,0,0,0
Belinda Point,Orange,Control,Absent,Absent,G1,2,0,30,0,1,0,0,0
Belinda Point,Yellow,Control,Absent,Absent,G1,3,0,30,0,1,0,0,0
Belinda Point,Green,Control,Absent,Absent,G1,4,0,30,0,1,0,0,0
Belinda Point,Blue,Control,Absent,Absent,G1,5,0,30,0,1,0,0,0
Belinda Point,Black,Control,Absent,Absent,G1,6,0,30,0,1,0,0,0
